name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people)
Pallavi Bar & Restaurant,No,No,NEW,0,Mysore Road,"Casual Dining, Bar","North Indian, South Indian, Chinese",₹ 550.00
Belly Squad Food Truck,No,No,4.0/5,55,South Bangalore,Food Truck,"Chinese, Rolls, Biryani, Momos",₹ 300.00
Fattoush,Yes,Yes,3.3/5,1964,Bannerghatta Road,Casual Dining,"Arabian, Biryani, Chinese, Middle Eastern, Fast Food, North Indian, Mughlai, Seafood","₹ 1,000.00"
Empire Restaurant,Yes,No,3.0/5,3178,Bannerghatta Road,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",₹ 750.00
Abhiruchi Hotel,Yes,No,3.8/5,455,Bannerghatta Road,Casual Dining,"Andhra, Biryani, North Indian, Chinese",₹ 550.00
Tulips,No,No,4.0/5,19,Bannerghatta Road,Casual Dining,"North Indian, South Indian, Chinese, Continental",₹ 800.00
Barbeque Nation,No,Yes,3.9/5,3845,JP Nagar,Casual Dining,"North Indian, European, Mediterranean, BBQ, Kebab","₹ 1,600.00"
Sattvam,No,No,NEW,353,JP Nagar,Casual Dining,"North Indian, South Indian","₹ 1,200.00"
24th Main,No,Yes,3.7/5,1234,JP Nagar,Casual Dining,"North Indian, South Indian, Chinese",₹ 800.00
Zaitoon,Yes,Yes,3.7/5,1538,JP Nagar,Casual Dining,"BBQ, Arabian, Chinese, North Indian, Desserts","₹ 1,000.00"
Mango Greens,No,Yes,3.9/5,49,JP Nagar,Casual Dining,"North Indian, Continental, Chinese",₹ 900.00
Oye Amritsar,Yes,Yes,3.9/5,756,JP Nagar,Casual Dining,North Indian,"₹ 1,000.00"
Melt - Eden Park,Yes,Yes, 4.5/5,347,JP Nagar,Casual Dining,"North Indian, Chinese, Thai, Mughlai, Seafood","₹ 1,000.00"
Crave Bit Cafe,No,No,3.6/5,0,JP Nagar,Cafe,Cafe,₹ 600.00
Spice Code,No,Yes,3.8/5,165,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese, Biryani","₹ 1,000.00"
The Onyx - The HHI Select Bengaluru,No,No,3.9/5,177,JP Nagar,Casual Dining,"North Indian, Chinese, Continental",₹ 950.00
The Pavillion,No,No,3.6/5,43,JP Nagar,Casual Dining,"North Indian, Continental, South Indian, Chinese","₹ 1,000.00"
Sankranthi Veg Restaurant,Yes,No,3.9/5,102,BTM,Casual Dining,"South Indian, North Indian, Chinese",₹ 600.00
Tisano Cafe,Yes,No,3.6/5,54,Bannerghatta Road,Cafe,"Cafe, Fast Food, Chinese, Continental",₹ 500.00
Cafe Kabana,No,Yes,2.7/5,200,Bannerghatta Road,Cafe,"Cafe, Continental",₹ 700.00
Butterly,Yes,No,3.6/5,102,Bannerghatta Road,Cafe,"Cafe, Bakery, Beverages",₹ 450.00
Cafe Conico,No,No,3.3/5,0,Bannerghatta Road,Cafe,"Cafe, Beverages",₹ 600.00
Black Mug Cafe,Yes,No,3.7/5,171,Bannerghatta Road,Cafe,Cafe,₹ 300.00
Siene's,Yes,No,NEW,37,Bannerghatta Road,Cafe,"Cafe, Beverages",₹ 400.00
WAFL,Yes,No,4.1/5,40,Bannerghatta Road,Food Court,"Cafe, Fast Food, Desserts, Beverages",₹ 400.00
Vaho Kafe & Pressery,No,No,4.0/5,125,Bannerghatta,Cafe,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",₹ 500.00
Dreamcatcher,Yes,No,NEW,49,Bannerghatta Road,Cafe,Cafe,₹ 600.00
Cafe Coffee Day,No,No,3.9/5,19,Bannerghatta Road,Cafe,"Cafe, Fast Food",₹ 900.00
Cafe Arabica,No,No,NEW,69,Bannerghatta Road,"Cafe, Bakery","Cafe, Bakery",₹ 700.00
Starbucks,No,No,4.1/5,52,Bannerghatta Road,Cafe,"Cafe, Desserts",₹ 700.00
Smoor,Yes,No,4.1/5,18,Bannerghatta ,Dessert Parlor,"Desserts, Cafe, Beverages",₹ 900.00
Kalmane Koffees,No,No,4.4/5,78,Bannerghatta Road,Cafe,Cafe,₹ 350.00
Shee-Sha Cafe,No,Yes,,39,Bannerghatta Road,"Cafe, Casual Dining","Cafe, North Indian, Chinese, Continental",₹ 800.00
Brews N Bites,Yes,No,3.7/5,48,Bannerghatta Road,"Quick Bites, Cafe","Chinese, Fast Food, Cafe, Street Food, Finger Food",₹ 650.00
D2V Cafe,No,No,3.7/5,13,Bannerghatta Road,Cafe,Cafe,₹ 700.00
Wellness Cafe,No,No,3.7/5,0,Bannerghatta ,Cafe,"Cafe, Healthy Food",₹ 400.00
Cafe Talk,No,No,3.6/5,14,Bannerghatta Road,"Cafe, Casual Dining","Cafe, Continental, North Indian, Bakery, Desserts",₹ 700.00
Cafe Choco Craze,No,No,2.6/5,9,Bannerghatta Road,Cafe,"Cafe, Fast Food, Desserts",₹ 400.00
Healthy Smoothie,No,No,3.4/5,0,Bannerghatta Road,Delivery,"American, Bakery, Beverages, Cafe, Healthy Food, Juices, North Indian, Sandwich",₹ 300.00
Me N U,No,No,3.4/5,0,Bannerghatta Road,Quick Bites,"Finger Food, Wraps, Cafe, Continental, Healthy Food",₹ 500.00
Slate Cafe,Yes,No,3.7/5,46,JP Nagar,Cafe,"Cafe, Sandwich, Burger",₹ 600.00
Dialogues,No,No,2.7/5,129,JP Nagar,Cafe,"Cafe, Continental",₹ 600.00
Cafe Zuppa,Yes,No,3.2/5,0,JP Nagar,Cafe,"Cafe, Pizza, Fast Food",₹ 450.00
Mudpipe Cafe,Yes,Yes,4.5/5,727,JP Nagar,Cafe,"Cafe, Continental, North Indian",₹ 800.00
Crave Bit Cafe,No,No,3.7/5,0,JP Nagar,Cafe,Cafe,₹ 600.00
TAB - Take A Break,No,No,3.8/5,521,JP Nagar,Cafe,"Cafe, Continental, Italian",₹ 550.00
Biggies Burger 'n' More,Yes,No,3.6/5,203,JP Nagar,"Quick Bites, Cafe","Cafe, Burger, Beverages",₹ 650.00
Onesta,Yes,Yes,3.8/5,4381,JP Nagar,"Casual Dining, Cafe","Pizza, Cafe, Italian",₹ 600.00
Cafe Potpourri,Yes,No,4.0/5,131,JP Nagar,Cafe,"Cafe, Sandwich, North Indian, Beverages, Desserts",₹ 400.00
De Oxford Cafe,No,No,3.4/5,34,JP Nagar,Cafe,"Cafe, Beverages, Fast Food",₹ 500.00
Vinaya Coffee Moments,Yes,No,3.6/5,46,JP Nagar,Cafe,"Burger, Cafe, Desserts, Sandwich, Italian",₹ 450.00
Brew Point,Yes,No,3.7/5,10,JP Nagar,Cafe,"Cafe, American, Burger, Sandwich, Fast Food",₹ 500.00
The Cravery,Yes,No,2.9/5,18,JP Nagar,Cafe,"Continental, Burger, Beverages, Cafe, Italian, Rolls",₹ 500.00
Cuppa,No,No,4.5/5,48,JP Nagar,Cafe,"Cafe, Fast Food",₹ 550.00
Anju's Cafe,No,No,4.1/5,6,JP Nagar,Cafe,"Cafe, North Indian",₹ 600.00
Furry Fairy Paw Paradise,No,No,3.9/5,0,JP Nagar,Cafe,Cafe,₹ 500.00
Junkealth,No,No,3.6/5,0,JP Nagar,Quick Bites,"Healthy Food, Beverages, Cafe",₹ 300.00
Skytouch Le Cafe,Yes,No,4.1/5,127,JP Nagar,Cafe,"Cafe, Italian, Desserts",₹ 700.00
Woodee Pizza,Yes,No,3.8/5,85,JP Nagar,Cafe,"Cafe, Pizza, Fast Food, Beverages",₹ 500.00
Hearts Unlock Cafe,No,No,3.3/5,11,BTM,Cafe,"Cafe, Healthy Food",₹ 500.00
eat.fit,Yes,No,4.0/5,1178,BTM,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",₹ 500.00
Sai Abhiruchi,Yes,No,4,335,BTM,Casual Dining,"Andhra, North Indian, Biryani",₹ 800.00
Capsicum Family Restaurant,Yes,No,3.8/5,254,BTM,Casual Dining,"Biryani, North Indian",₹ 800.00
Box Magic,Yes,No,3.1/5,21,Bannerghatta Road,Quick Bites,"North Indian, South Indian, Seafood, Rolls",₹ 400.00
Maa'r Rannaghor,Yes,No,4.0/5,20,JP Nagar,Quick Bites,"Bengali, Chinese",₹ 400.00
Easy Bites,Yes,No,3.4/5,63,JP Nagar,"Takeaway, Delivery","Fast Food, Sandwich",₹ 300.00
Hiyar Majhe Kolkata,Yes,No,3.6/5,244,BTM,Quick Bites,"Bengali, North Indian",₹ 400.00
Dabba Gosht,Yes,No,3.5/5,9,JP Nagar,"Takeaway, Delivery","Arabian, Middle Eastern",₹ 400.00
Empire Restaurant,Yes,No,3.9/5,113,JP Nagar,"Takeaway, Delivery","Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",₹ 400.00
Punjabites,Yes,No,2.9/5,5,JP Nagar,"Takeaway, Delivery","North Indian, Charcoal Chicken",₹ 400.00
Sri Lakshmi Dhaba,Yes,No,NEW,255,BTM,Quick Bites,North Indian,₹ 250.00
XO Belgian Waffle,Yes,No,4.1/5,549,BTM,Dessert Parlor,"Desserts, Beverages",₹ 400.00
Swadista Aahar,Yes,No,2.9/5,775,BTM,Quick Bites,"South Indian, North Indian, Chinese, Street Food",₹ 300.00
Vegetarea,Yes,No,3.8/5,38,BTM,"Takeaway, Delivery",South Indian,₹ 250.00
Al-Bek,Yes,No,3.7/5,208,JP Nagar,"Takeaway, Delivery","Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",₹ 300.00
Aniram's,Yes,No,NEW,739,JP Nagar,Delivery,"Chinese, North Indian",₹ 500.00
Punjabi Nawabi,Yes,No,4.4/5,310,Bannerghatta Road,Quick Bites,North Indian,₹ 400.00
YummRajj,Yes,No,4.0/5,42,BTM,Quick Bites,Fast Food,₹ 500.00
Swad Punjab Da,Yes,No,3.8/5,126,BTM,Quick Bites,North Indian,₹ 150.00
Daniyal's,Yes,No,3.9/5,41,BTM,Quick Bites,"North Indian, Biryani, Mughlai, Kebab",₹ 800.00
Seasons,Yes,Yes,3.4/5,500,Bannerghatta Road,Casual Dining,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices","₹ 1,000.00"
Chef Delicacies,Yes,No,3.7/5,7,JP Nagar,"Takeaway, Delivery","Kebab, Rolls, Charcoal Chicken",₹ 400.00
Chung Wah,Yes,No,3.8/5,532,Bannerghatta Road,Casual Dining,"Chinese, Thai, Momos, Vietnamese",₹ 800.00
Indiana Burgers,Yes,No,3.7/5,23,BTM,Delivery,Burger,₹ 300.00
Moksha,Yes,No,3.9/5,42,Kanakapura Road,"Casual Dining, Bar","Chinese, North Indian, Andhra, South Indian","₹ 1,500.00"
Marwa Restaurant,Yes,Yes,3.8/5,551,Bannerghatta Road,Casual Dining,"North Indian, Chinese, Fast Food, BBQ",₹ 600.00
Pallavi North Indian Veg Restaurant,Yes,No,3.7/5,243,JP Nagar,Casual Dining,"Biryani, North Indian, Chinese",₹ 450.00
Sri Lakshmi Curries & Pickles,No,No,3.6/5,60,JP Nagar,Casual Dining,"Andhra, Biryani",₹ 400.00
Crave Bit Cafe,No,No,3.3/5,0,JP Nagar,Cafe,Cafe,₹ 600.00
TAB - Take A Break,No,No,,521,JP Nagar,Cafe,"Cafe, Continental, Italian",₹ 550.00
Chatori Gali,No,No,3.9/5,51,JP Nagar,Casual Dining,"North Indian, Street Food",₹ 600.00
Swathi Restaurant,Yes,No,4.0/5,48,JP Nagar,Casual Dining,Mangalorean,₹ 400.00
Brundhavana Pure Veg,Yes,No,3.9/5,98,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",₹ 500.00
The Punjabi Rasoi,No,No,NEW,0,JP Nagar,Casual Dining,North Indian,₹ 800.00
Onesta,Yes,Yes,3.3/5,4381,JP Nagar,"Casual Dining, Cafe","Pizza, Cafe, Italian",₹ 600.00
Royal Chef Naati Oota,No,No,3.2/5,193,JP Nagar,Casual Dining,"South Indian, Biryani, North Indian",₹ 500.00
White Horse,No,No,3.3/5,177,JP Nagar,Quick Bites,"North Indian, Mangalorean, Chinese",₹ 400.00
Spice Code,No,Yes,3.7/5,165,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese, Biryani","₹ 1,000.00"
Coconut Grove,No,No,2.9/5,97,JP Nagar,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood","₹ 1,100.00"
Cafe Potpourri,Yes,No,2.4/5,132,JP Nagar,Cafe,"Cafe, Sandwich, North Indian, Beverages, Desserts",₹ 400.00
Flow - Terrace Bar & Grill,No,No,3.8/5,82,JP Nagar,"Lounge, Bar","Pizza, Continental, North Indian, Chinese","₹ 1,000.00"
De Oxford Cafe,No,No,NEW,34,JP Nagar,Cafe,"Cafe, Beverages, Fast Food",₹ 500.00
Funky Punjab,Yes,No,3.6/5,407,JP Nagar,Casual Dining,"North Indian, Chinese",₹ 500.00
Vinaya Coffee Moments,Yes,No,3.8/5,46,JP Nagar,Cafe,"Burger, Cafe, Desserts, Sandwich, Italian",₹ 450.00
Dakshin Food Palace,Yes,No,3.5/5,42,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",₹ 450.00
Brew Point,Yes,No,3.6/5,10,JP Nagar,Cafe,"Cafe, American, Burger, Sandwich, Fast Food",₹ 500.00
The Onyx - The HHI Select Bengaluru,No,No,3.7/5,177,JP Nagar,Casual Dining,"North Indian, Chinese, Continental",₹ 950.00
Napoli Italian Bistro,Yes,Yes,NEW,1056,HSR,"Casual Dining, Bar","Italian, Mexican, Continental, Pizza","₹ 1,200.00"
Uptown Sliders & Shakes,Yes,No,3.4/5,112,HSR,Quick Bites,"Burger, Fast Food, Beverages",₹ 600.00
The Grub Central,Yes,Yes,4.1/5,797,HSR,Cafe,"Cafe, Italian, Continental",₹ 700.00
Cold Smith Ice Creams,Yes,No,4.3/5,41,Sarjapur Road,Dessert Parlor,"Ice Cream, Desserts",₹ 450.00
Keerthi Restaurant Andhra Style,Yes,No,4.1/5,0,Marathahalli,Quick Bites,Andhra,₹ 300.00
Thalis Of India,Yes,No,3.0/5,7,Sarjapur Road,Delivery,"South Indian, North Indian, Beverages",₹ 500.00
Singh Saheb Di Rasoi,Yes,No,NEW,10,Bellandur,Quick Bites,North Indian,₹ 800.00
Slurpy Shakes,Yes,No,NEW,6,Marathahalli,Delivery,Beverages,₹ 300.00
The Milkshake Theory,Yes,No,3.8/5,29,Sarjapur Road,Beverage Shop,"Beverages, Fast Food",₹ 400.00
Cake Box,Yes,No,2.9/5,24,Marathahalli,Bakery,"Bakery, Desserts",₹ 400.00
Wangs Kitchen,Yes,No,4.3/5,438,HSR,Casual Dining,Chinese,"₹ 1,000.00"
Quick Bites Food Junction,Yes,No,4.0/5,30,Sarjapur Road,Quick Bites,"North Indian, Chinese, Bengali",₹ 300.00
Poha On Wheels,Yes,No,4.2/5,0,Sarjapur Road,Quick Bites,Fast Food,₹ 100.00
Kidilum,Yes,No,4.0/5,32,Marathahalli,Casual Dining,"North Indian, Chinese, Kerala",₹ 450.00
Juice Junction Food Court,Yes,No,3.0/5,210,HSR,Quick Bites,"Juices, South Indian, Chinese, Fast Food",₹ 200.00
World In A Bowl,Yes,No,3.2/5,17,Sarjapur Road,Delivery,"Continental, North Indian, Desserts, Beverages",₹ 600.00
Sintales,Yes,No,3.5/5,44,Sarjapur Road,Cafe,"Cafe, Continental, Pizza, Burger, Beverages",₹ 600.00
The Litti Company,Yes,No,2.9/5,33,HSR,"Takeaway, Delivery",Bihari,₹ 400.00
Tanoor Tandoori,Yes,No,4.3/5,0,Bellandur,Delivery,"North Indian, Mughlai, Chinese, Kebab, Biryani",₹ 550.00
Myrasoiya.com,Yes,No,4.0/5,20,Sarjapur Road,Delivery,North Indian,₹ 350.00
Punjabi Times,Yes,Yes,NEW,1691,Bellandur,"Casual Dining, Bar",North Indian,"₹ 1,100.00"
Stoner,Yes,No,3.3/5,556,Sarjapur Road,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",₹ 500.00
Vandana Andhra and Multi Cuisine,Yes,Yes,4.0/5,481,Sarjapur Road,Casual Dining,"Andhra, Hyderabadi, Biryani, Chinese, North Indian",₹ 900.00
American Bites,Yes,No,3.7/5,4,Marathahalli,Quick Bites,"Pizza, American, Fast Food, Seafood",₹ 300.00
Roti's Ghar,Yes,No,3.7/5,0,Bellandur,"Takeaway, Delivery","North Indian, Juices",₹ 200.00
Telugu Velugu,Yes,No,3.2/5,0,HSR,Quick Bites,"South Indian, Andhra",₹ 500.00
Aashish Foods,Yes,No,3.6/5,34,Marathahalli,Quick Bites,North Indian,₹ 150.00
Laddoos,Yes,No,3.4/5,163,Bellandur,"Quick Bites, Sweet Shop","North Indian, Street Food, Mithai",₹ 250.00
Omleterian,Yes,No,3.8/5,0,Bellandur,Delivery,"American, Continental",₹ 200.00
Little Italy,Yes,Yes,2.8/5,715,Sarjapur Road,Casual Dining,"Italian, Pizza","₹ 1,500.00"
Rusbury Fresh Sweets And Savouries,Yes,No,3.5/5,65,HSR,Sweet Shop,"Mithai, Street Food",₹ 200.00
Shree Khana Khazana,Yes,No,3.5/5,166,Bellandur,Quick Bites,"North Indian, Chinese",₹ 450.00
Moti Mahal Delux,Yes,Yes,3.7/5,547,HSR,Casual Dining,"North Indian, Mughlai","₹ 1,000.00"
Shri Vishnu Grand,Yes,No,3.6/5,139,Marathahalli,Casual Dining,"North Indian, South Indian, Chinese",₹ 450.00
Andhra Paris,Yes,No,3.9/5,5,Sarjapur Road,Quick Bites,Andhra,₹ 250.00
Annapurna Foods,Yes,No,2.9/5,11,Bellandur,Casual Dining,"North Indian, Chinese, Hyderabadi",₹ 400.00
Spicy Punjabi Pharatha,Yes,No,3.6/5,76,Marathahalli,Quick Bites,"North Indian, Chinese, Biryani",₹ 400.00
Kitchen On Table,Yes,No,,787,HSR,Casual Dining,"BBQ, Chinese, Japanese, Asian","₹ 1,000.00"
Chai Point,Yes,No,4.3/5,0,Marathahalli,"Beverage Shop, Quick Bites","Italian, Biryani, Fast Food, North Indian, Rolls",₹ 200.00
Charcoal Eats,Yes,No,4.3/5,55,HSR,Quick Bites,"North Indian, Chinese, Biryani",₹ 500.00
Foodbell,Yes,No,4.2/5,0,Sarjapur Road,"Takeaway, Delivery",North Indian,₹ 300.00
Only Parathas,No,No,3.9/5,6,HSR,"Takeaway, Delivery",North Indian,₹ 250.00
Zayakedar,Yes,No,4.4/5,250,Bellandur,Quick Bites,"Beverages, Ice Cream, Sandwich, Fast Food",₹ 250.00
S S Popular Frozen Stone,Yes,No,4.1/5,24,Bellandur,"Beverage Shop, Quick Bites","Chinese, North Indian",₹ 300.00
Park N Eat,Yes,No,4.0/5,16,Marathahalli,Quick Bites,"North Indian, Biryani, Chinese",₹ 550.00
Unico,Yes,No,4.1/5,66,Bellandur,Casual Dining,"North Indian, Chinese, Andhra, South Indian, Biryani",₹ 200.00
New Andhra Spicy,Yes,No,4,11,Bellandur,Quick Bites,"Kerala, Beverages",₹ 150.00
Eat N Drinks,Yes,No,4.3/5,7,Bellandur,Takeaway,South Indian,₹ 200.00
Dosa Time,Yes,No,4.0/5,106,Sarjapur Road,Quick Bites,"Biryani, North Indian",₹ 500.00
Ammi's Biryani,No,No,2.8/5,43,Bellandur,Casual Dining,"Chinese, Italian, North Indian",₹ 700.00
Chef's Gallery,No,No,4.0/5,95,Bellandur,Casual Dining,"Andhra, Chettinad",₹ 700.00
Annalakshmi,No,No,3.9/5,28,Bellandur,Cafe,"Cafe, Beverages, Continental, North Indian, Chinese",₹ 700.00
Light House Cafe,Yes,No,4.2/5,94,Marathahalli,Quick Bites,"North Indian, Chinese",₹ 300.00
Hotel Shreekshetra,Yes,No,4.1/5,10,Sarjapur Road,Dessert Parlor,Desserts,₹ 300.00
Payohima Ice Creams,Yes,No,4.3/5,20,Sarjapur Road,Cafe,"Cafe, Continental, Tea",₹ 500.00
Tea Totallers,Yes,No,4.2/5,19,Bellandur,Quick Bites,"South Indian, Fast Food",₹ 300.00
Mirapakaya,Yes,No,3.9/5,0,Bellandur,"Takeaway, Delivery","Andhra, South Indian, North Indian, Biryani",₹ 300.00
ReadyBowl,Yes,No,3.8/5,76,Bellandur,Casual Dining,"North Indian, Mughlai",₹ 800.00
Qissa Khawani,Yes,No,3.9/5,319,Church Street,"Bar, Casual Dining",Asian,"₹ 2,000.00"
Ging - Royal Orchid Central,Yes,Yes,3.9/5,225,MG Road,Fine Dining,"Chinese, Momos","₹ 3,000.00"
Memories of China - Taj MG Road Bengaluru,No,Yes,4.2/5,449,MG Road,Bar,"Finger Food, Mediterranean, North Indian","₹ 2,000.00"
Fuel Resto Bar,No,No,4.1/5,38,Richmond Road,Fine Dining,"North Indian, Italian, European, Continental","₹ 2,000.00"
Ithaca - The Chancery Pavilion,No,Yes,3.9/5,312,Residency Road,"Fine Dining, Bar",Chinese,"₹ 3,500.00"
The Lantern Restaurant & Bar - The Ritz-Carlton...,No,Yes,3.6/5,424,Residency Road,Pub,"Continental, Steak","₹ 1,200.00"
Bootlegger,No,No,4.1/5,1543,Lavelle Road,Casual Dining,"Italian, Bakery, Fast Food","₹ 1,000.00"
Foodhall,Yes,No,3.9/5,113,MG Road,Cafe,"Cafe, American, Italian, Pizza, Burger",₹ 700.00
Wolf'ish,Yes,No,4.2/5,459,Church Street,"Casual Dining, Bar","North Indian, Lucknowi","₹ 1,300.00"
Tiger Trail - Ramada Hotel,Yes,Yes,4.2/5,188,Shivajinagar,Casual Dining,"North Eastern, Asian, Naga, Steak, Momos",₹ 800.00
Somilan Steak House,No,No,4.1/5,524,Church Street,Casual Dining,"Chinese, Thai, Momos, Vietnamese","₹ 1,000.00"
Chung Wah,Yes,No,3.9/5,360,Residency Road,Casual Dining,"Chinese, Tibetan",₹ 500.00
Peace Restaurant,Yes,No,4.2/5,109,Shanti Nagar,Casual Dining,"Biryani, Kebab",₹ 750.00
Mani's Dum Biryani,Yes,No,4.1/5,175,Ulsoor,"Casual Dining, Bar",Japanese,"₹ 1,800.00"
Matsuri - The Chancery Hotel,No,Yes,4.0/5,183,Lavelle Road,Casual Dining,"Nepalese, Tibetan, Momos",₹ 800.00
Utse Kitchen,Yes,No,4.2/5,172,Commercial Street,Club,Continental,"₹ 2,800.00"
Ice - Taj MG Road Bengaluru,No,Yes,3.9/5,608,MG Road,Cafe,"Cafe, Fast Food, Burger",₹ 800.00
Peppa Zzing,Yes,No,4.0/5,1133,Infantry Road,"Casual Dining, Bar",North Eastern,"₹ 1,000.00"
EatWater,Yes,No,3.8/5,121,Lavelle Road,Casual Dining,"North Indian, Chinese, Fast Food",₹ 500.00
Kabab Korner,Yes,No,4.0/5,205,St. Marks Road,Lounge,"North Indian, Chinese, Mediterranean","₹ 3,000.00"
i-Bar - The Park Bangalore,No,No, ('Rated 5.0',617,MG Road,Cafe,"Cafe, Italian",₹ 750.00
The Courtyard,No,Yes,3.8/5,297,Shanti Nagar,Casual Dining,"North Indian, Chinese, Biryani, Kebab, Juices",₹ 800.00
Imperial Restaurant,Yes,No,2.7/5,366,Residency Road,Cafe,Cafe,₹ 700.00
Marzipan @ The Bohemian House,Yes,No, ('Rated 5.0',50,Richmond Road,Casual Dining,"Continental, Asian, North Indian, South Indian","₹ 2,000.00"
The Bengaluru Brasserie - Hyatt Centric MG Road,No,Yes,3.5/5,117,Ulsoor,Casual Dining,"North Indian, Continental, South Indian","₹ 2,200.00"
Citrus Cafe - Lemon Tree Premier,No,No,3.9/5,183,Ulsoor,"Cafe, Casual Dining","Cafe, Burger, Italian, Fast Food",₹ 650.00
Cafe Imroze,Yes,No,3.9/5,95,Infantry Road,"Casual Dining, Bar","Kerala, Seafood","₹ 1,800.00"
Fort Kochi,No,Yes,3.1/5,335,MG Road,Casual Dining,"North Indian, Iranian",₹ 950.00
Ayda Persian Kitchen,Yes,No,3.9/5,224,Church Street,Casual Dining,"Continental, American",₹ 750.00
The Egg Factory,Yes,No,3.6/5,1764,St. Marks Road,Fine Dining,Continental,"₹ 3,000.00"
Lotus Pavilion - ITC Gardenia,No,Yes,3.8/5,175,Richmond Road,Casual Dining,"Goan, Seafood, Konkan, Desserts","₹ 1,000.00"
Nossa Goa,Yes,Yes,3.0/5,294,Richmond Road,Pub,"Finger Food, Continental, Asian, North Indian","₹ 1,500.00"
Chugg,No,Yes,3.4/5,747,Church Street,"Cafe, Bakery","Cafe, Bakery",₹ 500.00
Happy Belly Bakes,Yes,No,3.7/5,115,MG Road,Casual Dining,"Healthy Food, North Indian, South Indian",₹ 400.00
The Good Grain,Yes,No,3.7/5,54,Residency Road,Casual Dining,"North Indian, Chinese",₹ 550.00
New Hilal Restaurant,No,No,3.6/5,108,Shivajinagar,"Casual Dining, Cafe","Lebanese, Mediterranean, Cafe","₹ 1,000.00"
Cafe Cassia& Deli,No,No,4.1/5,115,Ulsoor,Bar,Finger Food,₹ 600.00
Scottish Pub,No,No,3.1/5,191,St. Marks Road,Casual Dining,"North Indian, South Indian, Chinese, Juices",₹ 700.00
Palmgrove,No,No,2.5/5,224,Residency Road,Quick Bites,"Biryani, South Indian",₹ 350.00
The Biryani Paradise,No,No,4.0/5,32,Richmond Road,Casual Dining,"Mangalorean, South Indian","₹ 2,000.00"
Tasting Room - Bengaluru Oota Company,No,No,4.1/5,58,Ulsoor,Casual Dining,"North Indian, Chinese",₹ 550.00
Taj Hotel,Yes,No,3.1/5,111,Shivajinagar,Casual Dining,"North Indian, Chinese, Mughlai","₹ 1,200.00"
Parika Multicuisine Restaurant,Yes,Yes,2.8/5,203,Richmond Road,Pub,"North Indian, Chinese","₹ 1,000.00"
WYT RestroPub,No,No,3.7/5,402,MG Road,Quick Bites,South Indian,₹ 300.00
MTR 1924,No,No,4.1/5,697,St. Marks Road,Quick Bites,North Indian,₹ 300.00
Desi Inn,Yes,No,4.0/5,13,Shanti Nagar,Casual Dining,"Chinese, Thai, Indonesian","₹ 1,300.00"
The Oriental Spice - Ashraya Hotel,Yes,No,3.6/5,158,Infantry Road,Casual Dining,"North Indian, Chinese, Fast Food, Street Food",₹ 500.00
Sagar Delicacy,Yes,No,4.0/5,87,Ulsoor,Casual Dining,"South Indian, Chinese",₹ 450.00
Revoli Hotel,No,No,3.4/5,21,Shanti Nagar,"Bar, Casual Dining","Italian, North Indian, Continental","₹ 1,000.00"
ThrowBack - Pub & Dine,No,No,3.9/5,234,Langford Town,Casual Dining,"North Indian, Chinese",₹ 500.00
Shyvan Restaurant,Yes,No,3.8/5,82,Shanti Nagar,Casual Dining,"Italian, European","₹ 1,600.00"
Pinxx - Royal Orchid Central,Yes,Yes,3.8/5,198,MG Road,Casual Dining,North Indian,₹ 500.00
Swathi Deluxe Restaurant,Yes,No,4.1/5,74,Shanti Nagar,Fine Dining,"Italian, North Indian","₹ 3,000.00"
Monsoon - The Park Bangalore,No,Yes,3.9/5,271,MG Road,"Cafe, Bakery","Cafe, Bakery, Continental","₹ 1,000.00"
The Blackboard Bakery,No,Yes,4.2/5,91,Lavelle Road,Quick Bites,"North Indian, Chinese, Arabian, Rolls",₹ 350.00
Al Noor,No,No,3.5/5,21,Shivajinagar,Casual Dining,"North Indian, South Indian, Chinese",₹ 450.00
Kamat Hotel,No,No,3.9/5,60,Shivajinagar,Casual Dining,"Continental, Asian, Italian","₹ 1,000.00"
Cafe Treat - The Pride Hotel,Yes,No,3.9/5,119,Richmond Road,Quick Bites,"Biryani, Chinese, Fast Food, North Indian",₹ 400.00
KKR FOODIES,Yes,Yes,2.6/5,58,St. Marks Road,Casual Dining,"Chinese, South Indian, North Indian",₹ 650.00
Woody's,No,No,3.9/5,433,Commercial Street,Casual Dining,Chinese,₹ 550.00
Little Chef,No,No,3.9/5,101,Richmond Road,"Cafe, Quick Bites","Cafe, Italian, Healthy Food","₹ 1,200.00"
